ParallelPercent;Threads;SpeedUp
10;1;1.000000
10;2;1.052742
10;3;1.063694
10;4;1.075569
10;5;1.087240
10;6;1.087004
10;7;1.086768
10;8;1.086768
10;9;1.087004
10;10;1.098925
10;11;1.098925
10;12;1.098684
10;13;1.098925
10;14;1.098684
10;15;1.098684
10;16;1.098925
10;17;1.098925
10;18;1.098684
10;19;1.098684
10;20;1.098925
30;1;1.000000
30;2;1.176609
30;3;1.250000
30;4;1.281986
30;5;1.315997
30;6;1.333511
30;7;1.333156
30;8;1.351133
30;9;1.351497
30;10;1.369975
30;11;1.369975
30;12;1.369601
30;13;1.369601
30;14;1.369601
30;15;1.388966
30;16;1.388581
30;17;1.388966
30;18;1.388966
30;19;1.388966
30;20;1.388966
50;1;1.000000
50;2;1.333422
50;3;1.492702
50;4;1.587769
50;5;1.666999
50;6;1.695196
50;7;1.724363
50;8;1.752098
50;9;1.786453
50;10;1.818875
50;11;1.818215
50;12;1.818875
50;13;1.852495
50;14;1.852495
50;15;1.851811
50;16;1.851811
50;17;1.887382
50;18;1.887382
50;19;1.887382
50;20;1.887382
70;1;1.000000
70;2;1.538698
70;3;1.852126
70;4;2.084027
70;5;2.273140
70;6;2.381179
70;7;2.497507
70;8;2.563971
70;9;2.631303
70;10;2.702265
70;11;2.702265
70;12;2.777162
70;13;2.777162
70;14;2.857958
70;15;2.857958
70;16;2.857958
70;17;2.857958
70;18;2.941867
70;19;2.941867
70;20;2.941867
90;1;1.000000
90;2;1.817852
90;3;2.500000
90;4;3.030853
90;5;3.570919
90;6;4.001597
90;7;4.348958
90;8;4.513514
90;9;5.000000
90;10;5.268139
90;11;5.262605
90;12;5.554324
90;13;5.887192
90;14;5.887192
90;15;6.246883
90;16;6.246883
90;17;6.254682
90;18;6.662234
90;19;6.671105
90;20;6.671105
